Organism,Product
Yarrowia lipolytica,citric acid
Escherichia coli,"fuel bio-chemical 2,3-butanediol"
Escherichia coli,ethanol
Saccharopolyspora erythraea,erythromycin
Corynebacterium glutamicum,aerobic succinate
Rhodobacter capsulatus,hydrogen
Saccharomyces cerevisiae,anticancer compound euphol
Escherichia coli,anthocyanin
Saccharomyces cerevisiae,n-acetylglucosamine
Yarrowia lipolytica,odd-chain fatty acid
Saccharomyces cerevisiae,adipic acid
Synechocystis sp,lipid
Armillaria gallica,armillyl orsellinate-type sesquiterpenoid
Saccharomyces cerevisiae,ferruginol
Streptomyces fradiae,neomycin
Escherichia coli,hydrogen
Aspergillus pseudoterreus,3-hydroxypropionic acid
Saccharomyces cerevisiae,tag
Aspergillus oryzae,oligopeptide
Corynebacterium glutamicum,udp-n-acetylglucosamine
Cupriavidus necator,acetoin
Escherichia coli,enantiomeric pair
Escherichia coli,poly[(r)-2-hydroxybutyrate]
Escherichia coli,plasmid
Escherichia coli,myo-inositol
Saccharomyces cerevisiae,7-dehydrocholesterol
Escherichia coli,3-hydroxypropionic acid
Escherichia coli,colanic acid
Clostridium carboxidivorans,ethanol
Escherichia coli,multiple eut protein nanocompartment
Escherichia coli,cadaverine
Escherichia coli,d-lactic acid
Saccharomyces cerevisiae,geranylgeraniol
Streptomyces ahygroscopicus,tetramycin
Escherichia coli,growth-associated
Escherichia coli,4-aminobutyric acid
Saccharomyces cerevisiae,poly-3-d-hydroxybutyrate
Polaromonas sp,pressure
Pseudomonas putida,prodigiosin
Ochrobactrum anthropi,unnatural amino acid
Streptomyces hygroscopicus,rapamycin
Acidaminococcus sp,activity
Escherichia coli,methyl cinnamate
Yarrowia lipolytica,lycopene
Deinococcus radiodurans,novel carotenoid deinoxanthin
Gluconobacter oxydans,5-keto-d-gluconate
Escherichia coli,c9 chemical
Corynebacterium glutamicum,l-lysine
Saccharomyces yeast,triacetic acid lactone
Streptomyces tsukubaensis,fk506
